name,type,ra_hours,dec_degrees,magnitude,size_arcmin
IC 288,G,3.125808,42.387556,14.95,1.01
IC 289,PN,3.172017,61.316778,13.20,0.58
IC 290,G,3.161872,40.974222,15.43,1.24
IC 291,G,3.124014,-12.587444,14.65,1.19
IC 292,G,3.170256,40.765667,13.47,1.19
IC 293,G,3.182267,41.137111,15.48,1.05
IC 294,G,3.184197,40.622111,15.52,1.49
IC 295,Other,3.183539,40.615250,,
IC 296,Other,3.184658,40.626861,,
IC 298,GPair,3.188583,1.314722,,0.80
IC 298 A,G,3.188472,1.315028,16.12,0.54
IC 298 B,G,3.188758,1.313389,15.10,0.43
IC 299,G,3.184042,-13.109583,15.79,0.87
IC 300,G,3.237783,42.415333,16.06,0.65
IC 301,G,3.246586,42.222639,14.95,1.26
IC 302,G,3.214242,4.707028,12.89,1.84
IC 303,G,3.211353,-11.689944,16.16,0.59
IC 304,G,3.250381,37.881833,14.74,1.06
IC 305,G,3.251056,37.860000,15.57,0.79
IC 306,G,3.216725,-11.715694,15.50,0.71
IC 307,G,3.229225,-0.241444,14.50,1.60
IC 308,G,3.271064,41.180750,14.22,1.16
IC 309,G,3.268414,40.804556,14.81,1.02
IC 310,G,3.278606,41.324972,12.71,1.50
IC 311,G,3.279647,40.003611,15.65,1.00
IC 312,G,3.302392,41.754111,14.64,1.19
IC 313,G,3.349417,41.893833,14.79,1.26
IC 314,Dup,3.313836,-1.973333,,
IC 315,G,3.319261,4.038556,15.49,0.68
IC 316,GPair,3.355528,41.930556,,0.80
IC 316 NED01,G,3.355542,41.928944,15.24,0.45
IC 316 NED02,G,3.355528,41.931917,15.03,1.06
IC 317,G,3.315419,-12.740194,14.87,0.88
IC 318,G,3.345508,-14.568222,14.72,1.08
IC 319,*,3.391403,41.416361,,
IC 320,G,3.433106,40.789028,15.34,1.12
IC 321,G,3.408219,-14.985472,14.79,1.03
IC 322,G,3.433464,3.680556,15.35,0.76
IC 323,Other,3.492653,41.855083,,
IC 324,Dup,3.441192,-21.355306,,
IC 325,G,3.513572,-7.046722,15.58,0.83
